libip6tc0/stable,now 1.8.2-4 amd64 [installed]
libiptc0/stable,now 1.8.2-4 amd64 [installed]
libisc-export1100/stable,now 1:9.11.5.P4+dfsg-5.1 amd64 [installed]
libjson-c3/stable,now 0.12.1+ds-2 amd64 [installed]
libklibc/stable,now 2.0.6-1 amd64 [installed]
libkmod2/stable,now 26-1 amd64 [installed]
libldap-2.4-2/stable,now 2.4.47+dfsg-3+deb10u1 amd64 [installed,upgradable to: 2.4.47+dfsg-3+deb10u2]
libldap-common/stable,now 2.4.47+dfsg-3+deb10u1 all [installed,upgradable to: 2.4.47+dfsg-3+deb10u2]
liblocale-gettext-perl/stable,now 1.07-3+b4 amd64 [installed]
liblockfile-bin/stable,now 1.14-1.1 amd64 [installed]
liblognorm5/stable,now 2.0.5-1 amd64 [installed]
liblz4-1/stable,now 1.8.3-1 amd64 [installed]
liblzma5/stable,now 5.2.4-1 amd64 [installed]
libmnl0/stable,now 1.0.4-2 amd64 [installed]
libmount1/stable,now 2.33.1-0.1 amd64 [installed]
libncurses6/stable,now 6.1+20181013-2+deb10u2 amd64 [installed]
libncursesw6/stable,now 6.1+20181013-2+deb10u2 amd64 [installed]
libnetfilter-conntrack3/stable,now 1.0.7-1 amd64 [installed]
libnettle6/stable,now 3.4.1-1 amd64 [installed]
libnewt0.52/stable,now 0.52.20-8 amd64 [installed]
libnfnetlink0/stable,now 1.0.1-3+b1 amd64 [installed]
libnftnl11/stable,now 1.1.2-2 amd64 [installed]
libnss-myhostname/stable,now 241-7~deb10u3 amd64 [installed]
libnss-systemd/stable,now 241-7~deb10u3 amd64 [installed]
libp11-kit0/stable,now 0.23.15-2 amd64 [installed]
libpam-modules-bin/stable,now 1.3.1-5 amd64 [installed]
libpam-modules/stable,now 1.3.1-5 amd64 [installed]
libpam-runtime/stable,now 1.3.1-5 all [installed]
libpam-systemd/stable,now 241-7~deb10u3 amd64 [installed]
libpam0g-dev/stable,now 1.3.1-5 amd64 [installed]
libpam0g/stable,now 1.3.1-5 amd64 [installed]
libpcre3/stable,now 2:8.39-12 amd64 [installed]
libpopt0/stable,now 1.16-12 amd64 [installed]
libprocps7/stable,now 2:3.3.15-2 amd64 [installed]
libqt5core5a/stable,now 5.11.3+dfsg1-1+deb10u2 amd64 [installed,upgradable to: 5.11.3+dfsg1-1+deb10u3]
libqt5dbus5/stable,now 5.11.3+dfsg1-1+deb10u2 amd64 [installed,upgradable to: 5.11.3+dfsg1-1+deb10u3]
libqt5gui5/stable,now 5.11.3+dfsg1-1+deb10u2 amd64 [installed,upgradable to: 5.11.3+dfsg1-1+deb10u3]
